session_id,ip_address,browser,operating_system,timestamp,query,doc_id,title,description
79351,,,,2024-11-30T21:07:24.842962,india,,,
79351,,,,2024-11-30T21:07:30.032955,india,,,
79351,,,,2024-11-30T21:07:34.215852,india,,,
79351,,,,2024-11-30T21:07:39.143748,india,,,
79351,,,,2024-11-30T21:07:45.310999,india,,,
79351,,,,2024-11-30T21:09:59.016132,farm,,,
79351,,,,2024-11-30T21:10:03.497476,farm,,,
79351,,,,2024-11-30T21:10:08.159727,farm,,,
79351,,,,2024-11-30T21:10:15.235188,farm,,,
79351,,,,2024-11-30T21:12:58.687652,farm,,,
